,user_id,creation_date,last_access_date,reputation,location
12962,697,1218151090,1482984935,2201,Perth Australia
12963,5551,1221052948,1476708576,2201,United States
12964,35681,1226106736,1402352182,2201,no_location
12965,41977,1228074057,1485339588,2201,Amsterdam Netherlands
12966,26494,1223558829,1486125124,2199,Hungary
12967,42962,1228334428,1486143350,2199,Boulder CO
12968,50260,1230661953,1485538575,2199,Cincinnati OH
12969,8157,1221491839,1486122045,2198,London United Kingdom
12970,37788,1226694112,1484871862,2198,United States
12971,53060,1231442827,1485441158,2198,Boston MA
12972,1345109,1223654555,1397172152,2198,San Francisco CA
12973,444,1217964706,1407521565,2197,no_location
12974,28241,1224077500,1485874689,2197,Aberystwyth United Kingdom
12975,146637,1217611423,1486064318,2197,Anchorage AK
12976,5742,1221118620,1486106290,2196,Subang Jaya Malaysia
12977,52499,1231346694,1486119721,2196,no_location
12978,11897,1221566888,1486075909,2195,Paris France
12979,46523,1229397179,1433542310,2195,no_location
12980,3666,1220036125,1486073187,2194,Poland
12981,17579,1221739207,1485462027,2194,Sheffield United Kingdom
12982,55934,1232129586,1486130149,2194,London United Kingdom
12983,17781,1221749486,1486127503,2193,Israel
12984,13203,1221586665,1486086538,2192,Doylestown Pennsylvania United States
12985,56307,1232232581,1485480709,2192,Seattle WA
12986,3856,1220185122,1486140024,2190,United Kingdom
12987,24082,1222858127,1486067567,2190,no_location
12988,8092,1221491371,1486142625,2189,Louisville KY
12989,32588,1225317642,1485540687,2189,Kelowna Canada
12990,12881,1221581131,1464349979,2188,United States
12991,35307,1226014128,1226293648,2188,no_location
12992,1871,1219107665,1485970601,2187,Canada
12993,48087,1229831865,1233109472,2187,no_location
12994,48771,1230072617,1460429344,2187,Olathe KS
12995,6034,1221183957,1485567976,2186,United States
12996,26351,1223519040,1240890646,2186,no_location
12997,6662,1221481601,1485182402,2185,United Kingdom
12998,41291,1227775762,1235635261,2185,Czech Republic
12999,36693,1226434585,1485913371,2184,Portland OR
13000,2937,1219739136,1479915679,3967,Madrid Spain
13001,10352,1221518157,1266864970,3967,no_location
13002,28532,1224154253,1486037047,3967,United Kingdom
13003,1194,1218630472,1484317697,3965,Rochester NY
13004,2450,1219403610,1486131591,3965,Germany
13005,12096,1221570708,1485982661,3965,Los Angeles CA
13006,14009,1221601233,1485474832,3961,San Antonio TX
13007,1223,1218635590,1397888643,3960,United Kingdom
13008,18310,1221776131,1460921376,3959,North Carolina
13009,54055,1231739880,1486096948,3959,United States
13010,34956,1225945577,1485077234,3957,no_location
13011,47612,1229649285,1484848421,3956,England United Kingdom
13012,25097,1223120365,1486134832,3954,Austria
13013,13468,1221592543,1485878098,3953,Minneapolis MN
13014,19892,1221988624,1484571681,3953,Czech Republic
13015,16460,1221672384,1485964660,3951,United States
13016,18753,1221822571,1406025584,3951,Sweden
13017,26219,1223487100,1486047547,3947,Santa Cruz CA
13018,1753,1219063346,1483920410,3946,Hampton VA
13019,1834,1219086872,1486083142,3946,Vancouver Canada
13020,34096,1225799672,1480441153,3946,Jakarta Indonesia
13021,36924,1226500892,1479762064,3941,Conyers GA USA
13022,38053,1226855101,1459197378,3941,Chicago IL
13023,49544,1230477586,1485706208,3941,Oslo
13024,13285,1221588209,1486079953,3940,no_location
13025,8918,1221498813,1486083384,3938,Las Vegas NV
13026,22712,1222439010,1476879387,3938,France
13027,22777,1222449266,1486073434,3938,AR
13028,1215136,1222906555,1484514957,3937,Dublin Ireland
13029,3086,1219763097,1486134521,3935,Montevideo Uruguay
13030,3707,1220079437,1486122354,3935,Belgium
13031,35286,1226010650,1466980954,3935,United States
13032,5552,1221053886,1486141979,3933,United Kingdom
13033,54247,1231780872,1485970136,3933,Russia
13034,50131,1230634193,1486136085,3932,London United Kingdom
13035,45698,1229087292,1486118132,3931,United Kingdom
13036,13850,1221598980,1486044291,3930,Nashville TN
13037,25616,1223323027,1486069958,3930,Brooklyn NY United States
13038,36131,1226310138,1486130860,3930,Italy
13039,22523,1222399260,1485469588,3928,Washington United States
13040,1726,1219057031,1476864038,3927,Halifax United Kingdom
13041,5601,1221057241,1486063941,3927,Iceland
13042,10475,1221520998,1485716136,3927,Stockholm Sweden
13043,2581,1219466271,1486139347,3924,Toronto Canada
13044,34720,1225899250,1486141509,3924,Minnesota
13045,2275,1219322692,1486120501,3923,Aachen Germany
13046,34910,1225930857,1485912031,3923,no_location
13047,691,1218146037,1485518149,3922,Adelaide South Australia Australia
13048,1633,1218994224,1484684240,3922,Netherlands
13049,4975,1220771123,1486077502,3921,Stockholm Sweden
13050,54825,1231890684,1486101133,3920,no_location
13051,6827,1221482485,1485762813,3919,Israel
13052,22131,1222345100,1486136740,3919,no_location
13053,55732,1232081163,1486053235,3919,Seattle WA United States
13054,5688,1221090110,1485908623,3916,Montreal Canada
13055,10156,1221514131,1481299097,3916,Huntsville AL
13056,27620,1223931871,1486130802,3914,Warwick RI
13057,1318,1218722408,1474645701,3913,Boulder CO
13058,11485,1221553627,1486136227,3912,Netherlands
13059,36474,1226391862,1486126621,3912,Istanbul Turkey
13060,2608,1219502393,1485941223,3911,United Kingdom
13061,38924,1227100493,1484916657,3911,no_location
13062,41984,1228076916,1447594097,3911,United States
13063,22474,1222386507,1485911020,3910,United States
13064,38791,1227061132,1460979736,3909,New York NY
13065,51950,1231227712,1306472163,3908,Hyderabad India
13066,4407,1220453826,1486075872,3907,Cleveland OH
13067,25639,1223329401,1485398445,3906,no_location
13068,48,1217597115,1486075715,3905,London United Kingdom
13069,55859,1232117834,1486132906,3905,Newcastle upon Tyne United Kingdom
13070,13937,1221600113,1459500376,3903,Budapest Hungary
13071,46810,1229459465,1486141905,3902,Michigan
13072,43960,1228583841,1431337369,3901,no_location
13073,8965,1221499299,1484601959,3900,United States
13074,32396,1225292435,1486136749,3900,Brooklyn NY
13075,47636,1229657420,1486104806,3899,Perth Australia
13076,57010,1232444038,1384358953,3898,Munich Germany
13077,5757,1221124731,1486139264,3897,England United Kingdom
13078,886,1218354399,1485987732,3891,Horsham United Kingdom
13079,568,1218052258,1485903401,3886,Wichita KS
13080,21418,1222209335,1485928206,3883,San Francisco CA
13081,30384,1224685307,1486068011,3881,Dallas TX
13082,40486,1227581877,1486002643,3881,no_location
13083,13750,1221597847,1475810002,3880,Mountain View CA United States
13084,40619,1227619760,1486050591,3880,Minnesota
13085,32382,1225290094,1480961605,3879,St Louis MO
13086,4013,1220266704,1486130686,3878,Bergen Norway
13087,14897,1221623449,1486136046,3878,Chapel Hill NC
13088,655,1218120291,1485970740,3877,Oshawa Canada
13089,2208,1219270692,1486134299,3877,Glasgow United Kingdom
13090,45581,1229051026,1486134071,3875,New York NY
13091,19242,1221854118,1461042296,3874,Colorado
13092,3047,1219757797,1486086715,3873,Rochester Hills MI
13093,1900,1219138699,1482227932,3867,United Kingdom
13094,42897,1228322442,1485383022,3867,Mountain View CA
13095,22360,1222373257,1486099472,3865,London United Kingdom
13096,823,1218258046,1486143026,3864,United States
13097,33662,1225723184,1479338493,3864,no_location
13098,45508,1229029816,1486094435,3864,Auckland Auckland New Zealand
13099,10461,1221520716,1458665021,3862,no_location
13100,25700,1223349285,1486099974,15525,no_location
13101,21698,1222267201,1486126442,15523,Geneva Switzerland
13102,45525,1229032535,1486115070,15521,Gold Coast Queensland Australia
13103,5295,1220911976,1486017924,15513,California
13104,22982,1222518409,1486110697,15507,France
13105,781,1218230899,1486013247,15500,United States
13106,15255,1221637359,1486033358,15498,Zurich Switzerland
13107,22483,1222388197,1486086275,15494,Portland OR
13108,58508,1232759884,1486053012,15486,Austin TX
13109,42124,1228137186,1485343312,15472,London United Kingdom
